epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
39,19.3206,0.99896,3.46058,0.25174,0.5984,1.08374,0.71756,0.42857,0.53168,0.25103,0.44664,0.07143,0.086,0.02639,1.93135,8.90873,0.64126,1.90577,2.22503,0.000474088,0.000474088,0.000474088
40,19.7307,0.97284,2.45541,0.3465,0.7848,1.05253,0.71756,0.42857,0.53168,0.25103,0.44664,0.07143,0.086,0.02639,1.93135,8.90873,0.64126,1.90577,2.22503,0.000478842,0.000478842,0.000478842
41,20.2534,0.79825,2.59144,0.30564,0.6988,1.02753,0.60218,0.57143,0.57539,0.24283,0.73904,0.07143,0.08497,0.0101,2.0313,8.95198,0.61499,1.95255,2.22764,0.0004832,0.0004832,0.0004832
42,20.6785,1.27847,2.86645,0.3442,0.89201,1.29909,0.60218,0.57143,0.57539,0.24283,0.73904,0.07143,0.08497,0.0101,2.0313,8.95198,0.61499,1.95255,2.22764,0.000487162,0.000487162,0.000487162
43,21.1959,1.11077,2.90708,0.33287,0.79072,1.12671,0.66264,0.57143,0.57191,0.27132,0.1898,0.14286,0.09854,0.01755,2.0002,8.89084,0.63181,1.98654,2.15416,0.000490728,0.000490728,0.000490728
44,21.7257,1.08944,3.28597,0.28975,0.81173,1.1923,0.66264,0.57143,0.57191,0.27132,0.1898,0.14286,0.09854,0.01755,2.0002,8.89084,0.63181,1.98654,2.15416,0.000493898,0.000493898,0.000493898
45,22.1695,0.79296,2.89003,0.32526,0.74265,0.98052,0.79346,0.42857,0.52899,0.26353,0.36635,0.21429,0.17988,0.05592,2.07552,8.77251,0.66988,2.04814,2.06581,0.000496672,0.000496672,0.000496672
46,22.5731,1.10781,4.24226,0.35171,1.30754,1.18898,0.79346,0.42857,0.52899,0.26353,0.36635,0.21429,0.17988,0.05592,2.07552,8.77251,0.66988,2.04814,2.06581,0.00049905,0.00049905,0.00049905
47,23.0188,0.77596,2.36354,0.39145,0.6212,0.90264,0.48509,0.5,0.46114,0.20376,0.96563,0.14286,0.15381,0.03935,1.99805,8.99504,0.73002,2.11647,1.99687,0.000501032,0.000501032,0.000501032
48,23.4497,0.90045,2.75557,0.3666,0.68874,0.98268,0.48509,0.5,0.46114,0.20376,0.96563,0.14286,0.15381,0.03935,1.99805,8.99504,0.73002,2.11647,1.99687,0.000502618,0.000502618,0.000502618
49,23.915,0.79497,2.42982,0.29585,0.59507,1.08078,0.49525,0.5,0.44827,0.2016,0.83105,0.07143,0.08958,0.00896,1.96131,9.00665,0.74655,2.09543,2.03537,0.000503808,0.000503808,0.000503808
50,24.3329,0.84166,2.98914,0.31362,0.58432,1.13324,0.49525,0.5,0.44827,0.2016,0.83105,0.07143,0.08958,0.00896,1.96131,9.00665,0.74655,2.09543,2.03537,0.000504602,0.000504602,0.000504602
51,24.928,0.82415,2.77152,0.39059,0.60011,0.98477,0.69928,0.35714,0.46803,0.19582,0.74118,0.07143,0.07647,0.01529,2.06142,8.99741,0.74023,2.1112,2.18097,0.000505,0.000505,0.000505
52,25.3498,0.89704,3.28002,0.3135,0.77566,1.27691,0.69928,0.35714,0.46803,0.19582,0.74118,0.07143,0.07647,0.01529,2.06142,8.99741,0.74023,2.1112,2.18097,0.000505002,0.000505002,0.000505002
53,25.7833,1.0432,2.41529,0.39358,0.78658,1.02054,0.69928,0.35714,0.46803,0.19582,0.74118,0.07143,0.07647,0.01529,2.06142,8.99741,0.74023,2.1112,2.18097,0.000504608,0.000504608,0.000504608
54,26.2513,0.80887,2.35717,0.46674,0.62305,0.94668,0.39818,0.28571,0.34549,0.17989,0.48149,0.14286,0.12256,0.03516,2.02467,8.79379,0.70896,2.11553,2.19068,0.000503818,0.000503818,0.000503818
55,26.7031,0.81401,3.37014,0.24881,0.65062,1.04592,0.39818,0.28571,0.34549,0.17989,0.48149,0.14286,0.12256,0.03516,2.02467,8.79379,0.70896,2.11553,2.19068,0.000502632,0.000502632,0.000502632
56,27.2916,0.80317,2.34975,0.3127,0.63523,0.99489,0.39818,0.28571,0.34549,0.17989,0.48149,0.14286,0.12256,0.03516,2.02467,8.79379,0.70896,2.11553,2.19068,0.00050105,0.00050105,0.00050105
57,27.8439,1.03231,4.07175,0.35275,0.69474,1.10098,0.56068,0.21429,0.2963,0.1593,0.37108,0.14286,0.12164,0.03801,2.0719,8.70407,0.69887,2.30364,2.24205,0.000499072,0.000499072,0.000499072
58,28.2942,0.89876,2.90725,0.32418,0.64402,0.98894,0.56068,0.21429,0.2963,0.1593,0.37108,0.14286,0.12164,0.03801,2.0719,8.70407,0.69887,2.30364,2.24205,0.000496698,0.000496698,0.000496698
59,28.8061,0.93405,2.34471,0.33429,0.74477,0.98011,0.56068,0.21429,0.2963,0.1593,0.37108,0.14286,0.12164,0.03801,2.0719,8.70407,0.69887,2.30364,2.24205,0.000493928,0.000493928,0.000493928
60,29.2843,0.8676,2.15664,0.28469,0.67405,1.10443,0.26621,0.21429,0.26203,0.12278,0.17747,0.14286,0.10604,0.02667,2.11964,8.74715,0.69146,2.56277,2.24395,0.000490762,0.000490762,0.000490762
61,29.716,0.81182,2.47929,0.35105,0.62706,0.97233,0.26621,0.21429,0.26203,0.12278,0.17747,0.14286,0.10604,0.02667,2.11964,8.74715,0.69146,2.56277,2.24395,0.0004872,0.0004872,0.0004872
62,30.2664,0.72813,2.60983,0.27408,0.54918,0.92598,0.26621,0.21429,0.26203,0.12278,0.17747,0.14286,0.10604,0.02667,2.11964,8.74715,0.69146,2.56277,2.24395,0.000483242,0.000483242,0.000483242
63,30.7251,0.56003,2.73257,0.40727,0.66541,1.08016,0.26007,0.28571,0.24396,0.10223,0.16241,0.14286,0.09171,0.02099,2.29441,8.84327,0.6917,2.87016,2.296,0.000478888,0.000478888,0.000478888
64,31.1473,0.90138,2.86344,0.39784,0.68197,1.12971,0.26007,0.28571,0.24396,0.10223,0.16241,0.14286,0.09171,0.02099,2.29441,8.84327,0.6917,2.87016,2.296,0.000474138,0.000474138,0.000474138
65,31.5878,0.69196,2.24814,0.26433,0.57586,0.98743,0.26007,0.28571,0.24396,0.10223,0.16241,0.14286,0.09171,0.02099,2.29441,8.84327,0.6917,2.87016,2.296,0.000468992,0.000468992,0.000468992
66,32.0804,0.83657,2.97585,0.35955,0.80178,1.14361,0.39786,0.28571,0.28883,0.14514,0.19893,0.14286,0.0968,0.02675,2.25145,8.97002,0.69147,2.73136,2.32348,0.00046345,0.00046345,0.00046345
67,32.5236,0.86813,3.96449,0.29357,0.58311,1.15836,0.39786,0.28571,0.28883,0.14514,0.19893,0.14286,0.0968,0.02675,2.25145,8.97002,0.69147,2.73136,2.32348,0.000457512,0.000457512,0.000457512
68,32.9352,0.87376,2.7431,0.33074,0.81483,1.16103,0.39786,0.28571,0.28883,0.14514,0.19893,0.14286,0.0968,0.02675,2.25145,8.97002,0.69147,2.73136,2.32348,0.000451178,0.000451178,0.000451178
69,33.5112,0.95111,2.81275,0.33418,0.6783,1.1001,0.7541,0.28571,0.36425,0.18191,0.3092,0.14286,0.10973,0.02935,1.97137,8.85278,0.68204,2.37145,2.10958,0.000444448,0.000444448,0.000444448
70,33.9434,0.65575,2.68437,0.23794,0.62704,0.99696,0.7541,0.28571,0.36425,0.18191,0.3092,0.14286,0.10973,0.02935,1.97137,8.85278,0.68204,2.37145,2.10958,0.000437322,0.000437322,0.000437322
